171.0	65.0	173.0	88.0	46.0	182.9	23.1
286.0	251.0	313.0	253.0	54.0	380.5	27.1
267.0	91.0	268.0	176.0	85.0	282.1	85.0
178.0	292.0	229.0	295.0	153.0	342.0	51.1
99.0	164.0	113.0	175.0	154.0	191.6	17.8
61.0	183.0	62.0	349.0	166.0	192.9	166.0
139.0	145.0	168.0	152.0	203.0	200.9	29.8
230.0	116.0	231.0	327.0	211.0	257.6	211.0
121.0	76.0	122.0	292.0	216.0	142.9	216.0
232.0	257.0	268.0	263.0	216.0	346.2	36.5
10.0	56.0	250.0	57.0	240.0	56.9	240.0
260.0	76.0	262.0	203.0	254.0	270.9	127.0
284.0	179.0	285.0	446.0	267.0	335.7	267.0
77.0	32.0	167.0	35.0	270.0	83.4	90.0
146.0	214.0	194.0	222.0	384.0	259.1	48.7
61.0	256.0	65.0	365.0	436.0	263.2	109.1
159.0	42.0	204.0	52.0	450.0	164.5	46.1
176.0	35.0	252.0	41.0	456.0	179.4	76.2
242.0	237.0	250.0	295.0	464.0	338.7	58.5
127.0	73.0	137.0	120.0	470.0	146.5	48.1
232.0	176.0	338.0	181.0	530.0	291.2	106.1
279.0	123.0	281.0	393.0	540.0	304.9	270.0
19.0	20.0	202.0	23.0	549.0	27.6	183.0
110.0	33.0	118.0	102.0	552.0	114.8	69.5
198.0	23.0	207.0	89.0	594.0	199.3	66.6
111.0	267.0	184.0	276.0	657.0	289.2	73.6
55.0	81.0	224.0	85.0	676.0	97.9	169.0
36.0	288.0	44.0	373.0	680.0	290.2	85.4
223.0	103.0	299.0	112.0	684.0	245.6	76.5
242.0	278.0	296.0	291.0	702.0	368.6	55.5
272.0	143.0	418.0	148.0	730.0	307.3	146.1
161.0	216.0	320.0	221.0	795.0	269.4	159.1
213.0	274.0	235.0	312.0	836.0	347.1	43.9
13.0	129.0	106.0	138.0	837.0	129.7	93.4
20.0	242.0	46.0	275.0	858.0	242.8	42.0
251.0	41.0	423.0	46.0	860.0	254.3	172.1
85.0	6.0	232.0	13.0	1029.0	85.2	147.2
57.0	124.0	86.0	160.0	1044.0	136.5	46.2
129.0	39.0	155.0	80.0	1066.0	134.8	48.5
267.0	164.0	293.0	205.0	1066.0	313.3	48.5
289.0	206.0	301.0	296.0	1080.0	354.9	90.8
177.0	25.0	187.0	134.0	1090.0	178.8	109.5
58.0	294.0	276.0	299.0	1090.0	299.7	218.1
282.0	181.0	292.0	291.0	1100.0	335.1	110.5
177.0	160.0	252.0	175.0	1125.0	238.6	76.5
73.0	237.0	102.0	277.0	1160.0	248.0	49.4
211.0	130.0	328.0	140.0	1170.0	247.8	117.4
6.0	238.0	208.0	244.0	1212.0	238.1	202.1
114.0	119.0	124.0	242.0	1230.0	164.8	123.4
204.0	191.0	267.0	211.0	1260.0	279.5	66.1
284.0	279.0	309.0	332.0	1325.0	398.1	58.6
146.0	246.0	430.0	251.0	1420.0	286.1	284.0
171.0	161.0	314.0	171.0	1430.0	234.9	143.3
2.0	69.0	8.0	316.0	1482.0	69.0	247.1
141.0	283.0	152.0	420.0	1507.0	316.2	137.4
25.0	171.0	176.0	181.0	1510.0	172.8	151.3
191.0	27.0	198.0	243.0	1512.0	192.9	216.1
18.0	118.0	26.0	315.0	1576.0	119.4	197.2
274.0	225.0	420.0	236.0	1606.0	354.5	146.4
85.0	209.0	100.0	319.0	1650.0	225.6	111.0
256.0	213.0	367.0	228.0	1665.0	333.0	112.0
124.0	40.0	181.0	70.0	1710.0	130.3	64.4
128.0	226.0	305.0	236.0	1770.0	259.7	177.3
41.0	228.0	57.0	340.0	1792.0	231.7	113.1
298.0	106.0	340.0	149.0	1806.0	316.3	60.1
208.0	56.0	226.0	157.0	1818.0	215.4	102.6
209.0	106.0	240.0	169.0	1953.0	234.3	70.2
38.0	272.0	54.0	395.0	1968.0	274.6	124.0
168.0	232.0	182.0	373.0	1974.0	286.4	141.7
127.0	235.0	218.0	257.0	2002.0	267.1	93.6
15.0	60.0	78.0	92.0	2016.0	61.8	70.7
288.0	84.0	307.0	191.0	2033.0	300.0	108.7
224.0	241.0	232.0	497.0	2048.0	329.0	256.1
202.0	51.0	227.0	134.0	2075.0	208.3	86.7
